File Name,Dimensions,File Size (MB),Aspect Ratio
@Chompersthecorgi1.jpg,"(1280, 1280)",0.10713958740234375,1.0
@Chompersthecorgi10.jpg,"(2500, 1667)",0.5844554901123047,1.4997000599880024
@Chompersthecorgi11.jpg,"(259, 194)",0.004376411437988281,1.3350515463917525
@Chompersthecorgi12.jpg,"(225, 225)",0.014019966125488281,1.0
@Chompersthecorgi13.jpg,"(1200, 800)",0.043723106384277344,1.5
@Chompersthecorgi2.jpg,"(720, 720)",0.045429229736328125,1.0
@Chompersthecorgi3.jpg,"(225, 225)",0.0070514678955078125,1.0
@Chompersthecorgi4.jpg,"(800, 800)",0.08914375305175781,1.0
@Chompersthecorgi5.jpg,"(400, 400)",0.011668205261230469,1.0
@Chompersthecorgi6.jpg,"(1641, 1641)",0.2278919219970703,1.0
@Chompersthecorgi7.jpg,"(1280, 1280)",0.10288047790527344,1.0
@Chompersthecorgi9.jpg,"(500, 679)",0.03334522247314453,0.7363770250368189
@KeyushTheStuntDog0.jpg,"(300, 300)",0.015295982360839844,1.0
@KeyushTheStuntDog1.jpg,"(1280, 720)",0.07600784301757812,1.7777777777777777
@KeyushTheStuntDog10.jpg,"(640, 480)",0.027776718139648438,1.3333333333333333
@KeyushTheStuntDog2.jpg,"(300, 168)",0.007374763488769531,1.7857142857142858
@KeyushTheStuntDog3.jpg,"(900, 900)",0.0767059326171875,1.0
@KeyushTheStuntDog4.jpg,"(736, 735)",0.07823371887207031,1.0013605442176872
@KeyushTheStuntDog6.jpg,"(1280, 720)",0.11949443817138672,1.7777777777777777
@KeyushTheStuntDog7.jpg,"(400, 174)",0.013427734375,2.2988505747126435
@KeyushTheStuntDog9.jpg,"(400, 400)",0.029161453247070312,1.0
@Theladyshortcake0.jpg,"(259, 194)",0.009657859802246094,1.3350515463917525
@Theladyshortcake1.jpg,"(1200, 630)",0.07647514343261719,1.9047619047619047
@Theladyshortcake10.jpg,"(168, 300)",0.009831428527832031,0.56
@Theladyshortcake11.jpg,"(201, 251)",0.010661125183105469,0.8007968127490039
@Theladyshortcake12.jpg,"(290, 174)",0.014060020446777344,1.6666666666666667
@Theladyshortcake13.jpg,"(736, 736)",0.06365299224853516,1.0
@Theladyshortcake2.jpg,"(1109, 623)",0.07430362701416016,1.7800963081861958
@Theladyshortcake3.jpg,"(1500, 1000)",0.12292098999023438,1.5
@Theladyshortcake4.jpg,"(201, 251)",0.010552406311035156,0.8007968127490039
@Theladyshortcake5.jpg,"(201, 251)",0.015859603881835938,0.8007968127490039
@Theladyshortcake6.jpg,"(225, 225)",0.010473251342773438,1.0
@Theladyshortcake7.jpg,"(225, 225)",0.009394645690917969,1.0
@Theladyshortcake8.jpg,"(201, 251)",0.008678436279296875,0.8007968127490039
@Theladyshortcake9.jpg,"(225, 225)",0.01001739501953125,1.0
@_gsdbear1.jpg,"(1080, 1080)",0.1042318344116211,1.0
@_gsdbear10.jpg,"(225, 225)",0.0063533782958984375,1.0
@_gsdbear11.jpg,"(201, 251)",0.007184028625488281,0.8007968127490039
@_gsdbear2.jpg,"(278, 181)",0.011159896850585938,1.5359116022099448
@_gsdbear3.jpg,"(960, 547)",0.05134868621826172,1.7550274223034734
@_gsdbear4.jpg,"(168, 300)",0.013911247253417969,0.56
@_gsdbear5.jpg,"(168, 300)",0.013045310974121094,0.56
@_gsdbear6.jpg,"(640, 800)",0.15173816680908203,0.8
@_gsdbear7.jpg,"(215, 234)",0.007140159606933594,0.9188034188034188
@_gsdbear8.jpg,"(576, 1024)",0.07545089721679688,0.5625
@_gsdbear9.jpg,"(540, 960)",0.0568695068359375,0.5625
@aspenthemountainpup0.jpg,"(400, 500)",0.036568641662597656,0.8
@aspenthemountainpup10.jpg,"(925, 618)",0.08989143371582031,1.4967637540453074
@aspenthemountainpup11.jpg,"(200, 300)",0.011912345886230469,0.6666666666666666
@aspenthemountainpup2.jpg,"(480, 480)",0.04539966583251953,1.0
@aspenthemountainpup3.jpg,"(400, 500)",0.047493934631347656,0.8
@aspenthemountainpup5.jpg,"(400, 600)",0.05655193328857422,0.6666666666666666
@aspenthemountainpup6.jpg,"(556, 417)",0.07346534729003906,1.3333333333333333
@aspenthemountainpup7.jpg,"(1050, 509)",0.159027099609375,2.06286836935167
@aspenthemountainpup8.jpg,"(1080, 1350)",0.17321109771728516,0.8
@aspenthemountainpup9.jpg,"(925, 618)",0.12839412689208984,1.4967637540453074
@balooitsme0.jpg,"(1080, 1080)",0.09917068481445312,1.0
@balooitsme1.jpg,"(1706, 960)",0.12249279022216797,1.7770833333333333
@balooitsme10.jpg,"(1200, 675)",0.10369110107421875,1.7777777777777777
@balooitsme11.jpg,"(500, 500)",0.05161571502685547,1.0
@balooitsme2.jpg,"(1200, 740)",0.07738876342773438,1.6216216216216217
@balooitsme3.jpg,"(1200, 675)",0.11360549926757812,1.7777777777777777
